group_id,nb_techniques,name,aliases
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,64,Scattered Spider,"Scattered Spider, Roasted 0ktapus, Octo Tempest, Storm-0875, UNC3944"
intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,64,Wizard Spider,"Wizard Spider, UNC1878, TEMP.MixMaster, Grim Spider, FIN12, GOLD BLACKBURN, ITG23, Periwinkle Tempest, DEV-0193, Pistachio Tempest, DEV-0237"
intrusion-set--ebd7ce77-c9ba-4fba-bb28-58296ac66559,63,VOID MANTICORE,"VOID MANTICORE, COBALT MYSTIQUE, Handala Hack, Homeland Justice, Karma, Karmabelow80, BANISHED KITTEN, Red Sandstorm"
intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,59,Chimera,Chimera
intrusion-set--918da025-04bd-48af-b6c4-f3e4d1b915eb,57,Medusa Group,Medusa Group
intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,57,Threat Group-3390,"Threat Group-3390, Earth Smilodon, TG-3390, Emissary Panda, BRONZE UNION, APT27, Iron Tiger, LuckyMouse, Linen Typhoon"
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,56,APT38,"APT38, NICKEL GLADSTONE, BeagleBoyz, Bluenoroff, Stardust Chollima, Sapphire Sleet, COPERNICIUM"
intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,56,Dragonfly,"Dragonfly, TEMP.Isotope, DYMALLOY, Berserk Bear, TG-4192, Crouching Yeti, IRON LIBERTY, Energetic Bear, Ghost Blizzard, BROMINE"
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,56,TeamTNT,TeamTNT
intrusion-set--46599a4a-77ee-4697-9474-2683b6464859,54,Contagious Interview,"Contagious Interview, DeceptiveDevelopment, Gwisin Gang, Tenacious Pungsan, DEV#POPPER, PurpleBravo, TAG-121"
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,53,APT39,"APT39, ITG07, Chafer, Remix Kitten"
intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,53,FIN13,"FIN13, Elephant Beetle"
intrusion-set--7113eaa5-ba79-4fb3-b68a-398ee9cd698e,50,Leviathan,"Leviathan, MUDCARP, Kryptonite Panda, Gadolinium, BRONZE MOHAWK, TEMP.Jumper, APT40, TEMP.Periscope, Gingham Typhoon"
intrusion-set--461b8e25-8f4a-4ea2-a4a8-e39df7ce6630,49,UNC3886,UNC3886
intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a,48,BlackByte,"BlackByte, Hecamede"
intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9,47,Ember Bear,"Ember Bear, UNC2589, Bleeding Bear, DEV-0586, Cadet Blizzard, Frozenvista, UAC-0056"
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,46,menuPass,"menuPass, Cicada, POTASSIUM, Stone Panda, APT10, Red Apollo, CVNX, HOGFISH, BRONZE RIVERSIDE"
intrusion-set--6713ab67-e25b-49cc-808d-2b36d4fbc35c,46,Ke3chang,"Ke3chang, APT15, Mirage, Vixen Panda, GREF, Playful Dragon, RoyalAPT, NICKEL, Nylon Typhoon"
intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9,44,APT3,"APT3, Gothic Panda, Pirpi, UPS Team, Buckeye, Threat Group-0110, TG-0110"
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,44,HAFNIUM,"HAFNIUM, Operation Exchange Marauder, Silk Typhoon"
intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,44,Earth Lusca,"Earth Lusca, TAG-22, Charcoal Typhoon, CHROMIUM, ControlX"
intrusion-set--8cf6e33b-b6ef-4a1f-a77c-0ecdde93161f,43,MirrorFace,"MirrorFace, Earth Kasha"
intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,43,LAPSUS$,"LAPSUS$, DEV-0537, Strawberry Tempest"
intrusion-set--7b404cd0-3ae9-41d4-90c0-023793d35d97,42,Storm-0501,Storm-0501
intrusion-set--17862c7d-9e60-48a0-b48e-da4dc4c3f6b0,41,Patchwork,"Patchwork, Hangover Group, Dropping Elephant, Chinastrats, MONSOON, Operation Hangover"
