group_name,technique_id,attack_id,technique,tactic,platforms
Lazarus Group,attack-pattern--88d31120-5bc7-4ce3-a9c0-7cf147be8e54,T1583.006,Web Services,resource-development,PRE
Lazarus Group,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,T1056.001,Keylogging,collection,"Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,T1056.001,Keylogging,credential-access,"Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--633a100c-b2c9-41bf-9be5-905c1b16c825,T1574.006,Dynamic Linker Hijacking,stealth,"Linux, macOS"
APT41,attack-pattern--633a100c-b2c9-41bf-9be5-905c1b16c825,T1574.006,Dynamic Linker Hijacking,execution,"Linux, macOS"
Lazarus Group,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18,T1571,Non-Standard Port,command-and-control,"ESXi, Linux, macOS, Windows"
Lazarus Group,attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c,T1132.001,Standard Encoding,command-and-control,"ESXi, Linux, macOS, Windows"
APT41,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62,T1059.003,Windows Command Shell,execution,Windows
APT41,attack-pattern--1644e709-12d2-41e5-a60f-3470991f5011,T1003.002,Security Account Manager,credential-access,Windows
Lazarus Group,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6,T1189,Drive-by Compromise,initial-access,"Identity Provider, Linux, macOS, Windows"
