group_id,group_name,nb_techniques,nb_utilisations
intrusion-set--b516b235-fc7d-4635-aca5-3d33312339c3,ToddyCat,25,25
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,INC Ransom,25,25
intrusion-set--9e729a7e-0dd6-4097-95bf-db8d64911383,Darkhotel,24,24
intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,APT1,23,23
intrusion-set--73a80fab-2aa3-48e0-a4d0-3a4828200aee,Blue Mockingbird,22,22
intrusion-set--b8137919-38cb-4db0-90f3-437be885faba,Agrius,22,22
intrusion-set--e1fc262c-dad2-4b82-abda-5f08dd134971,Velvet Ant,22,22
intrusion-set--ead23196-d7b6-4ce6-a124-4ab4b67d81bd,Inception,22,22
intrusion-set--88b7dbc2-32d3-4e31-af2f-3fc24e1582d7,Lotus Blossom,21,21
intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,APT19,21,21
intrusion-set--9b36c218-4d80-4ec6-a68d-cc2886bbe410,Star Blizzard,20,20
intrusion-set--abc5a1d4-f0dc-49d1-88a1-4a80e478bb03,LazyScripter,20,20
intrusion-set--3ea7add5-5b8f-45d8-b1f1-905d2729d62a,CURIUM,19,19
intrusion-set--6eded342-33e5-4451-b6b2-e1c62863129f,Confucius,19,19
intrusion-set--8b1e16f6-e7c8-4b7a-a5df-f81232c13e2f,Cinnamon Tempest,19,19
intrusion-set--afec6dc3-a18e-4b62-b1a4-5510e1a498d1,Windshift,19,19
intrusion-set--674582ec-51c4-42ce-b409-797239e37a2a,Saint Bear,18,18
intrusion-set--32bca8ff-d900-4877-aa65-d70baa041b74,Leafminer,17,17
intrusion-set--46bb06cb-f2d9-4b37-8c92-a27e224ad90d,Akira,17,17
intrusion-set--f3be6240-f68e-47e1-90d2-ad8f3b3bb8a6,Daggerfly,17,17
intrusion-set--03be849d-b5a2-4766-9dda-48976bae5710,SideCopy,16,16
intrusion-set--1f21da59-6a13-455b-afd0-d58d0a5a7d27,Gorgon Group,16,16
intrusion-set--7f848c02-4d1e-4808-a4ae-4670681370a9,BITTER,16,16
intrusion-set--894aab42-3371-47b1-8859-a4a074c804c8,Stealth Falcon,16,16
intrusion-set--a0cb9370-e39b-44d5-9f50-ef78e412b973,Axiom,16,16
intrusion-set--df71bb3b-813c-45eb-a8bc-f2a419837411,Molerats,16,16
intrusion-set--129f2f77-1ab2-4c35-bd5e-21260cee92af,EXOTIC LILY,15,15
intrusion-set--9735c036-8ebe-47e9-9c77-b0ae656dab93,BackdoorDiplomacy,15,15
intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960,Tonto Team,15,15
intrusion-set--1c3dcf91-b859-4aae-a09c-ae26dc8b6390,Salt Typhoon,14,14
intrusion-set--2a158b0a-7ef8-43cb-9985-bf34d1e12050,Naikon,14,14
intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,BlackTech,14,14
intrusion-set--94873029-f950-4268-9cfd-5032e15cb182,TA551,14,14
intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,Transparent Tribe,14,14
intrusion-set--90784c1e-4aba-40eb-9adf-7556235e6384,Silent Librarian,13,13
intrusion-set--0d4ac089-ced4-4cc4-a989-174d08e6d030,Mustard Tempest,12,12
intrusion-set--16ade1aa-0ea1-4bb7-88cc-9079df2ae756,admin@338,12,12
intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,APT18,12,12
intrusion-set--39d6890e-7f23-4474-b8ef-e7b0343c5fc8,Andariel,12,12
intrusion-set--4c4a7846-45d5-4761-8eea-725fa989914c,Moses Staff,12,12
intrusion-set--8a831aaa-f3e0-47a3-bed8-a9ced744dd12,Dark Caracal,12,12
intrusion-set--bf668120-e9a6-4017-a014-bfc0f5232656,Malteiro,12,12
intrusion-set--d0b3393b-3bec-4ba3-bda9-199d30db47b6,FIN4,12,12
intrusion-set--1f0f9a14-11aa-49aa-9174-bcd0eaa979de,Evilnum,11,11
intrusion-set--38863958-a201-4ce1-9dbe-539b0b6804e0,Machete,11,11
intrusion-set--85403903-15e0-4f9f-9be4-a259ecad4022,FIN5,11,11
intrusion-set--efed95ba-d7e8-47ff-8c53-99c42426ee7c,PROMETHIUM,11,11
intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694,PLATINUM,11,11
intrusion-set--fbe9387f-34e6-4828-ac28-3080020c597b,FIN10,11,11
