id,name,aliases
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,Magic Hound,"Magic Hound, TA453, COBALT ILLUSION, Charming Kitten, ITG18, Phosphorus, Newscaster, APT35, Mint Sandstorm"
intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,APT29,"APT29, IRON RITUAL, IRON HEMLOCK, NobleBaron, Dark Halo, NOBELIUM, UNC2452, YTTRIUM, The Dukes, Cozy Bear, CozyDuke, SolarStorm, Blue Kitsune, UNC3524, Midnight Blizzard"
intrusion-set--129f2f77-1ab2-4c35-bd5e-21260cee92af,EXOTIC LILY,EXOTIC LILY
intrusion-set--dc6fe6ee-04c2-49be-ba3d-f38d2463c02a,Cobalt Group,"Cobalt Group, GOLD KINGSWOOD, Cobalt Gang, Cobalt Spider"
intrusion-set--39d6890e-7f23-4474-b8ef-e7b0343c5fc8,Andariel,"Andariel, Silent Chollima, PLUTONIUM, Onyx Sleet"
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,HAFNIUM,"HAFNIUM, Operation Exchange Marauder, Silk Typhoon"
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,APT39,"APT39, ITG07, Chafer, Remix Kitten"
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,MuddyWater,"MuddyWater, Earth Vetala, MERCURY, Static Kitten, Seedworm, TEMP.Zagros, Mango Sandstorm, TA450, MuddyKrill"
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,APT38,"APT38, NICKEL GLADSTONE, BeagleBoyz, Bluenoroff, Stardust Chollima, Sapphire Sleet, COPERNICIUM"
intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,Transparent Tribe,"Transparent Tribe, COPPER FIELDSTONE, APT36, Mythic Leopard, ProjectM"
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,APT32,"APT32, SeaLotus, OceanLotus, APT-C-00, Canvas Cyclone, BISMUTH"
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,BRONZE BUTLER,"BRONZE BUTLER, REDBALDKNIGHT, Tick"
intrusion-set--5f3d0238-d058-44a9-8812-3dd1b6741a8c,POLONIUM,"POLONIUM, Plaid Rain"
intrusion-set--c1aab4c9-4c34-4f4f-8541-d529e46a07f9,APT5,"APT5, Mulberry Typhoon, MANGANESE, BRONZE FLEETWOOD, Keyhole Panda, UNC2630"
intrusion-set--9735c036-8ebe-47e9-9c77-b0ae656dab93,BackdoorDiplomacy,BackdoorDiplomacy
intrusion-set--7113eaa5-ba79-4fb3-b68a-398ee9cd698e,Leviathan,"Leviathan, MUDCARP, Kryptonite Panda, Gadolinium, BRONZE MOHAWK, TEMP.Jumper, APT40, TEMP.Periscope, Gingham Typhoon"
intrusion-set--319fd652-edde-46b2-9987-3519493989f5,Storm-1811,Storm-1811
intrusion-set--fa19de15-6169-428d-9cd6-3ca3d56075b7,Ajax Security Team,"Ajax Security Team, Operation Woolen-Goldfish, AjaxTM, Rocket Kitten, Flying Kitten, Operation Saffron Rose"
intrusion-set--46bb06cb-f2d9-4b37-8c92-a27e224ad90d,Akira,"Akira, GOLD SAHARA, PUNK SPIDER, Howling Scorpius"
